"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","1000000.0","433SN401366","","49994.0","South Gloucestershire","2000.0","44214.0"
"","1000000.0","436WJ503244","","50000.0","Surrey","50000.0","44229.0"
"","100000.0","56WH678142","","15008.0","Northumberland","5000.0","37500.0"
"","100000.0","429GV329184","","8050.0","Lincolnshire","2500.0","44191.0"
"","100000.0","196CS398156","","30000.0","Norfolk","30000.0","41136.0"
"","100000.0","41PP234659","","50000.0","Hertfordshire","50.0","35370.0"
"","100000.0","411MG396503","","50000.0","West Sussex","49990.0","44077.0"
"","50000.0","151JG332452","","500.0","Barnet","100.0","39850.0"
"","50000.0","467WL702867","","50000.0","Outer London","4975.0","44429.0"
"","50000.0","437VN253087","","50000.0","North East Scotland","14575.0","44235.0"
"","50000.0","351FV269088","","50000.0","Central Scotland","10000.0","43496.0"
"","50000.0","336SY566100","","20000.0","Brighton and Hove","20000.0","43318.0"
"","50000.0","408WA724584","","50000.0","Norfolk","50000.0","44062.0"
"","50000.0","447JH439853","","50000.0","Leeds","5000.0","44286.0"
"","50000.0","346KC830617","","50000.0","Cornwall","50000.0","43435.0"
"","50000.0","206TY492434","","50000.0","Cheshire East","29899.0","41423.0"
"","50000.0","456MF607699","","50000.0","Devon","30000.0","44342.0"
"","50000.0","45DD254510","","6600.0","Suffolk","5000.0","36465.0"
"","50000.0","297XZ827349","","50000.0","Dorset","50000.0","42811.0"
"","25000.0","426QV038108","","50000.0","Stockport","14500.0","44172.0"
"","25000.0","467CK129539","","6510.0","Nottingham","2500.0","44424.0"
"","25000.0","199RE858189","","50000.0","Barnet","15000.0","41240.0"
"","25000.0","17MB752977","","50000.0","Inner London","5000.0","34486.0"
"","25000.0","236DX259003","","50000.0","Cambridgeshire","40000.0","41966.0"
"","25000.0","197KQ502478","","13399.0","Dorset","1000.0","41182.0"
